,打,打,安,二,三,本,四,死,犠,犠,盗,盗,併,出,長,O,得
,,,,塁,塁,塁,,,,,,塁,殺,塁,打,P,点
,率,数,打,打,打,打,球,球,打,飛,塁,死,打,率,率,S,圏
yamada,0.304,481,146,26,3,38,97,8,0,4,30,2,16,0.425,0.607,1.032,0.299
kikuchi,0.315,574,181,22,3,13,40,0,23,3,13,5,3,0.358,0.432,0.79,0.343
aoki,0.358,583,209,44,1,14,63,19,0,3,19,4,10,0.435,0.509,0.944,0.331
tsutsugo,0.322,469,151,28,4,44,87,3,0,2,0,1,6,0.43,0.68,1.11,0.393
nakata,0.25,569,142,26,1,25,47,3,0,5,2,1,14,0.308,0.431,0.738,0.264
sakamoto,0.344,488,168,28,3,23,81,0,1,6,13,3,6,0.433,0.555,0.988,0.339
matsuda,0.259,548,142,23,5,27,48,8,0,5,6,6,14,0.325,0.467,0.792,0.271
akiyama,0.296,578,171,32,4,11,77,10,0,6,18,6,2,0.385,0.422,0.807,0.295
kobayashi,0.204,398,81,12,1,4,36,4,19,1,2,1,10,0.276,0.269,0.544,0.219
